event,id,pt,eta,phi,momentum,mass
95,	-6000113,	121.441,	0.720583,	1.66805,	154.357,	15
96,	6000113,	55.1993,	3.16499,	2.26465,	654.957,	15
96,	-6000113,	60.1361,	2.46482,	-1.00345,	356.199,	15
97,	6000113,	10.3372,	5.27314,	2.70906,	1008.04,	15
97,	-6000113,	6.53052,	1.51068,	-1.46437,	15.5118,	15
98,	6000113,	52.0086,	2.24827,	1.26432,	249.041,	15
98,	-6000113,	109.291,	2.91455,	2.85813,	1010.66,	15
99,	6000113,	89.1165,	0.134213,	2.67353,	89.9204,	15
99,	-6000113,	44.6283,	1.40769,	-2.11288,	96.6475,	15
100,	6000113,	131.02,	1.13621,	-1.96058,	225.091,	15
100,	-6000113,	69.8416,	1.59363,	-0.651233,	178.96,	15
101,	6000113,	41.7678,	1.80989,	0.695089,	131.014,	15
101,	-6000113,	29.8263,	-0.539031,	-1.39422,	34.2653,	15
102,	6000113,	7.48422,	-4.81784,	0.347234,	462.922,	15
102,	-6000113,	49.0556,	-1.10824,	0.789699,	82.3927,	15
103,	6000113,	59.4458,	-1.01501,	-1.84669,	92.7887,	15
103,	-6000113,	79.4558,	-1.59391,	0.580766,	203.648,	15
104,	6000113,	82.783,	-0.504163,	0.0691918,	93.5286,	15
104,	-6000113,	35.7884,	-1.47188,	-2.87686,	82.079,	15
105,	6000113,	35.8232,	0.274742,	1.23592,	37.1838,	15
105,	-6000113,	100.992,	-0.196996,	-2.34953,	102.958,	15
106,	6000113,	75.1277,	-1.1691,	0.662567,	132.59,	15
106,	-6000113,	20.2716,	-3.3797,	-1.11487,	297.952,	15
107,	6000113,	59.4203,	2.88053,	2.16122,	531.211,	15
107,	-6000113,	55.5572,	2.16379,	-0.772184,	244.979,	15
108,	6000113,	36.6374,	-2.50353,	1.14225,	225.456,	15
108,	-6000113,	188.235,	-1.16331,	1.43995,	330.632,	15
109,	6000113,	80.5026,	0.342797,	-1.4919,	85.279,	15
109,	-6000113,	44.376,	1.19441,	2.06048,	79.9764,	15
110,	6000113,	61.3895,	-1.30221,	-1.31066,	121.224,	15
110,	-6000113,	62.2695,	-1.08642,	1.43622,	102.778,	15
111,	6000113,	102.532,	-0.518291,	1.50968,	116.614,	15
111,	-6000113,	36.7378,	-0.352644,	-1.1904,	39.0459,	15
112,	6000113,	74.456,	0.322869,	-0.437096,	78.3706,	15
112,	-6000113,	47.4152,	0.91426,	2.57825,	68.651,	15
